sfi_code;sfi_label
1;SHIP GENERAL
2;HULL
3;EQUIPMENT FOR CARGO
4;SHIP EQUIPMENT
5;EQUIPMENT FOR CREW AND PASSENGERS
6;MACHINERY MAIN
7;SYSTEMS FOR MACHINERY MAIN COMPONENTS
8;SHIP COMMON SYSTEMS
